date,close
2026-01-02,100
2026-01-05,101
2026-01-06,102
2026-01-07,101
2026-01-08,100
2026-01-09,99
2026-01-12,98
2026-01-13,97
2026-01-14,98
2026-01-15,99
2026-01-16,100
2026-01-19,101
2026-01-20,102
2026-01-21,103
2026-01-22,104
2026-01-23,105
2026-01-26,104
2026-01-27,103
2026-01-28,102
2026-01-29,101
2026-01-30,100
2026-02-02,101
2026-02-03,102
2026-02-04,103
2026-02-05,104
2026-02-06,105
2026-02-09,106
2026-02-10,107
2026-02-11,108
2026-02-12,109
2026-02-13,110
2026-02-16,109
2026-02-17,108
2026-02-18,107
2026-02-19,106
2026-02-20,105
2026-02-23,104
2026-02-24,103
2026-02-25,102
2026-02-26,101
